sa2_code,sa2_name,total_pop,pct_youth_18_34,median_age,median_weekly_income,median_weekly_rent,pct_students,rent_to_income_ratio
103021064,Cowra Surrounds,5716.0,0.1296361091672498,50.0,601.0,210.0,0.1106894370651486,0.3494176372712146
103021065,Forbes,10020.0,0.1578842315369261,43.0,714.0,230.0,0.125945412693193,0.3221288515406162
103021066,Grenfell,3597.0,0.1137058659994439,52.0,575.0,198.0,0.1308108108108108,0.3443478260869565
103021067,Parkes (NSW),10919.0,0.180144701895778,39.0,728.0,260.0,0.1397268974277548,0.3571428571428571
103021068,Parkes Surrounds,3262.0,0.1299816063764561,45.0,623.0,180.0,0.0938123752495009,0.2889245585874799
103021069,West Wyalong,5525.0,0.149683257918552,43.0,730.0,200.0,0.1195046439628483,0.273972602739726
103031070,Lithgow,12385.0,0.1691562373839321,46.0,610.0,270.0,0.1531952144733002,0.4426229508196721
103031071,Lithgow Surrounds,8448.0,0.1418087121212121,47.0,671.0,270.0,0.1487179487179487,0.4023845007451564
103031071,Lithgow Surrounds,8448.0,0.1418087121212121,47.0,671.0,270.0,0.1487179487179487,0.4023845007451564
103031072,Mudgee,12563.0,0.1932659396640929,37.0,786.0,363.0,0.1690528634361233,0.4618320610687023
103031073,Mudgee Surrounds - East,3398.0,0.0997645673925838,53.0,494.0,230.0,0.1294247787610619,0.4655870445344129
103031073,Mudgee Surrounds - East,3398.0,0.0997645673925838,53.0,494.0,230.0,0.1294247787610619,0.4655870445344129
103031074,Mudgee Surrounds - West,11072.0,0.1301481213872832,45.0,664.0,280.0,0.1175953079178885,0.4216867469879518
103031074,Mudgee Surrounds - West,11072.0,0.1301481213872832,45.0,664.0,280.0,0.1175953079178885,0.4216867469879518
103031075,Wollangambe - Wollemi,,,,,,,
103031075,Wollangambe - Wollemi,,,,,,,
103041076,Blayney,7517.0,0.1476652920047891,43.0,765.0,270.0,0.1516878562034195,0.3529411764705882
103041077,Orange,19023.0,0.1856699784471429,40.0,742.0,300.0,0.1810714285714285,0.4043126684636118
103041078,Orange - North,22895.0,0.1987770255514304,34.0,930.0,375.0,0.2004516471838469,0.4032258064516129
