sa2_code,total_pop,pct_youth_18_34,median_age,median_weekly_income,median_weekly_rent,pct_students,rent_to_income_ratio
103031071,8448,14.180871212121213,47,671,270,14.871794871794872,0.40238450074515647
103031072,12563,19.3265939664093,37,786,363,16.905286343612335,0.4618320610687023
103031073,3398,9.976456739258387,53,494,230,12.942477876106194,0.46558704453441296
103031074,11072,13.014812138728324,45,664,280,11.759530791788857,0.42168674698795183
103031075,0,,0,0,0,,
103041076,7517,14.766529200478914,43,765,270,15.168785620341955,0.35294117647058826
103041077,19023,18.566997844714294,40,742,300,18.107142857142858,0.40431266846361186
103041078,22895,19.877702555143046,34,930,375,20.045164718384697,0.4032258064516129
103041079,11830,12.933220625528318,43,855,260,14.197031039136302,0.30409356725146197
104011080,19255,16.74889639054791,43,607,300,15.09050609530846,0.4942339373970346
104011081,16875,14.34074074074074,49,552,300,9.976842917792359,0.5434782608695652
104011082,17533,10.6713055381281,55,571,360,14.285714285714286,0.6304728546409807
104021083,6168,10.765239948119326,46,647,370,16.40394088669951,0.5718701700154559
104021084,18099,16.901486269959666,42,655,355,20.427059712774,0.5419847328244275
104021085,11305,17.12516585581601,45,648,360,20.915216170690623,0.5555555555555556
104021086,3950,14.278481012658228,44,723,365,16.11535199321459,0.5048409405255878
104021087,3250,11.723076923076922,54,532,280,11.970979443772672,0.5263157894736842
104021088,10262,12.940947183784838,43,848,458,16.74084217733653,0.5400943396226415
104021089,20066,14.581879796670986,45,683,370,17.045658012533572,0.541727672035139
104021090,4907,11.188098634603627,53,603,350,16.475409836065573,0.5804311774461028
104021091,14463,17.043490285556246,43,674,380,17.523860021208908,0.5637982195845698
105011092,3428,20.12835472578763,36,770,160,8.844621513944222,0.2077922077922078
105011093,4129,20.10171954468394,37,880,190,11.27659574468085,0.2159090909090909
105011094,3926,17.473255221599594,38,675,190,8.865814696485623,0.2814814814814815
105011095,4591,17.076889566543237,44,750,200,13.176638176638177,0.26666666666666666
105011096,5534,16.299241055294544,44,547,179,5.224564619615032,0.3272394881170018
105021097,17588,17.50056856947919,44,647,220,15.364265364265364,0.3400309119010819
105021098,2288,16.914335664335663,43,583,150,5.921052631578948,0.25728987993138935
105031099,7921,12.776164625678575,50,557,200,9.090909090909092,0.3590664272890485
105031100,10633,21.047681745509262,35,850,295,14.855811243810079,0.34705882352941175
105031101,19628,23.130222131648665,35,896,320,17.49875601260574,0.35714285714285715
105031102,10317,21.663274207618493,34,850,320,13.861680023745919,0.3764705882352941
105031103,5963,13.181284588294483,42,863,265,11.134127395132056,0.3070683661645423
105031104,4398,14.074579354251933,46,633,200,7.996953541507997,0.315955766192733
105031105,6458,15.949210281820998,41,722,240,8.089579524680072,0.33240997229916897
105031106,8769,18.74786178583647,41,617,230,9.009840098400984,0.3727714748784441
106011107,12770,19.631949882537196,36,897,400,18.670886075949365,0.4459308807134894
106011108,23495,20.242604809533944,39,611,320,13.883034773445733,0.5237315875613748
106011109,9145,15.09021323127392,42,728,360,16.401088223863194,0.4945054945054945
106011110,9541,13.185200712713552,46,710,300,16.143497757847534,0.4225352112676056
106011111,20631,22.311085260045562,35,699,345,17.656142759094028,0.49356223175965663
106011112,17018,21.77106593019156,34,823,330,16.961826052735145,0.40097205346294046
106011113,5332,14.347336834208551,42,778,360,12.607099143206854,0.46272493573264784
106021114,8611,23.725467425386135,34,829,390,21.899224806201552,0.4704463208685163
106021116,8727,14.495244643061762,38,921,420,20.41334300217549,0.4560260586319218
106021614,17981,19.02563817362772,39,763,350,22.16388524282768,0.45871559633027525
106021615,17730,20.174844895657078,35,788,400,18.87718023255814,0.5076142131979695
106021616,7976,23.75877632898696,34,724,330,21.190375685943437,0.4558011049723757
106021617,10091,18.07551283321772,41,742,360,22.111846946284032,0.48517520215633425
106021618,15899,23.787659601232782,33,941,420,22.822085889570552,0.4463336875664187
106031119,6449,11.350596991781671,52,627,400,18.898623279098874,0.6379585326953748
106031120,6887,13.518222738492813,50,562,365,15.70048309178744,0.6494661921708185
106031121,21972,11.077735299472055,55,648,390,18.007061592781483,0.6018518518518519
106031122,14588,19.001919385796544,38,650,320,15.327276962497088,0.49230769230769234
106031123,5693,13.841559810293342,42,876,380,21.114369501466275,0.4337899543378995
106031124,5804,6.443831840110269,65,552,350,13.440320962888666,0.6340579710144928
106031125,15020,15.818908122503329,40,752,400,18.528428093645484,0.5319148936170213
106041126,12272,20.827900912646676,35,759,310,13.376590965809832,0.40843214756258234
106041127,4083,15.405339211364193,42,800,280,15.89018302828619,0.35
106041128,6035,18.19386909693455,39,805,290,14.897260273972602,0.36024844720496896
106041129,8194,15.096412008786917,44,706,250,13.1521262604121,0.35410764872521244
107011131,24195,18.297168836536475,41,670,390,20.391793922566713,0.582089552238806
107011132,12155,19.802550390785687,34,893,500,19.60835509138381,0.5599104143337066
107011133,5,0.0,58,537,0,,0.0
107011134,15280,17.76178010471204,41,763,355,23.710386305806153,0.46526867627785057
107011545,14200,19.450704225352112,39,560,350,18.854886475814414,0.625
107011546,9740,18.7782340862423,42,551,300,18.205607476635514,0.5444646098003629
107011547,4239,13.635291342297712,51,609,345,17.2106824925816,0.5665024630541872
107021135,9,0.0,38,1749,270,,0.15437392795883362
107031136,19026,22.0697992221171,34,869,480,20.04189944134078,0.5523590333716916
107031137,6920,19.91329479768786,41,636,390,20.022308979364194,0.6132075471698113
107031138,8786,12.884133849305714,51,794,480,21.773835920177383,0.6045340050377834
107031139,6063,12.782450931881908,44,867,490,20.0,0.5651672433679354
107031140,8136,12.819567354965585,48,836,500,22.370848708487085,0.5980861244019139
107031141,19341,15.99710459645313,39,841,510,20.38932706830005,0.6064209274673008
107031142,10590,18.413597733711047,43,692,425,22.093444404201378,0.6141618497109826
107031143,20397,17.46825513555915,43,587,350,16.70278078728783,0.596252129471891
107041144,21519,20.182164598726708,40,728,380,33.018443544759336,0.521978021978022
107041145,16041,19.58730752446855,41,737,330,24.816544362908605,0.44776119402985076
107041146,22773,21.23128265928951,36,746,410,37.016373559733175,0.5495978552278821
107041147,9135,16.683087027914613,39,1005,530,22.09094163981382,0.527363184079602
107041148,11957,13.707451701931923,43,1014,550,24.753018660812295,0.5424063116370809
107041150,20761,14.33456962574057,41,843,390,22.148067670339906,0.4626334519572954
107041548,16020,36.554307116104866,36,892,410,53.52753755120619,0.45964125560538116
107041549,16551,31.158238172920065,34,755,380,41.700692348659686,0.5033112582781457
108011151,5235,11.786055396370582,51,577,300,12.802768166089965,0.5199306759098787
108011152,14709,10.401794819498267,57,582,340,13.30396475770925,0.584192439862543
108011153,6988,9.602175157412708,53,572,350,11.824324324324325,0.6118881118881119
108011154,6376,10.272898368883313,62,499,310,13.647246608140463,0.6212424849699398
108021155,15654,17.548230484221286,42,542,285,10.847975553857907,0.525830258302583
108021156,9472,12.33108108108108,51,570,300,12.459415584415584,0.5263157894736842
108021157,5189,12.584312969743689,50,525,330,14.382530120481928,0.6285714285714286
108021158,7111,10.772043313176768,56,501,285,13.441483198146003,0.5688622754491018
108021159,8102,11.83658355961491,50,554,300,13.83675250982104,0.5415162454873647
108021160,5628,10.678749111584933,58,537,330,13.691507798960139,0.6145251396648045
108031161,445,15.730337078651685,46,961,310,9.278350515463918,0.3225806451612903
108041162,18484,8.829257736420688,58,573,354,17.60581016779364,0.6178010471204188
108041164,21147,17.203385823048187,47,644,385,24.454297407912687,0.5978260869565217
108041165,5301,11.865685719675533,50,632,300,15.107415107415108,0.47468354430379744
108041166,12796,14.848390121913098,43,653,360,16.804702110606467,0.5513016845329249
108041619,11764,15.23291397483849,46,761,350,25.076080340839926,0.45992115637319314
108041620,17284,11.137468178662347,49,691,420,18.064802485574788,0.6078147612156295
108051167,5310,9.698681732580038,55,564,275,13.410852713178295,0.4875886524822695
108051168,12476,10.323821737736454,53,634,360,15.060625398851307,0.5678233438485805
108051169,21123,15.528097334658902,46,559,290,13.999663469628134,0.518783542039356
108051170,13044,10.081263416130021,56,524,310,13.755532856656453,0.5916030534351145
108051171,5395,14.84708063021316,47,577,306,13.121546961325967,0.5303292894280762
109011172,17831,20.167124670517637,36,894,320,22.922794117647058,0.3579418344519016
109011173,10527,19.54022988505747,39,724,268,18.79961892664338,0.3701657458563536
109011174,10519,17.406597585321798,45,857,250,22.155049786628734,0.29171528588098017
109011175,12507,11.889341968497641,44,755,222,12.287813529262731,0.29403973509933773
109011176,15665,20.14044047239068,40,647,250,20.28175313059034,0.38639876352395675
109021177,2897,16.603382809803243,48,701,175,10.27479091995221,0.24964336661911554
109021178,6511,15.619720473045614,43,708,200,10.47018904507998,0.2824858757062147
109021179,3648,17.32456140350877,43,746,200,7.438715131022823,0.2680965147453083
109031180,5595,12.90437890974084,52,634,230,14.601420678768745,0.3627760252365931
109031181,7262,12.820159735610025,50,662,265,11.688980432543769,0.4003021148036254
109031182,7038,15.18897414038079,47,688,230,13.914373088685016,0.33430232558139533
109031183,6837,12.724879333040807,49,638,170,9.833506763787721,0.2664576802507837
109031184,6930,12.395382395382395,49,687,322,11.142374788970175,0.46870451237263466
109031185,9778,12.251994272857434,52,631,200,11.647940074906368,0.31695721077654515
110011186,23967,22.37242875620645,36,730,290,30.058056742249974,0.3972602739726027
110011187,4527,14.26993593991606,44,672,250,11.671087533156498,0.37202380952380953
110011188,5894,12.962334577536478,47,716,250,17.424689899586532,0.34916201117318435
110011189,3144,13.072519083969466,50,683,200,10.256410256410257,0.29282576866764276
110021190,8931,13.481133131788154,50,528,220,11.905682257441052,0.4166666666666667
110021191,12057,17.558264908351994,41,666,270,12.029025955902874,0.40540540540540543
110021192,5200,13.788461538461538,47,490,200,9.765625,0.40816326530612246
110021193,5734,10.934775026159748,50,533,210,9.529553679131483,0.39399624765478425
110021194,6810,10.602055800293686,55,490,240,12.071967498549043,0.4897959183673469
110031195,7845,20.26768642447419,38,828,230,8.787346221441124,0.2777777777777778
110031196,5356,18.334578043315908,39,820,175,7.473776223776224,0.21341463414634146
110031197,6898,19.13598144389678,39,820,260,13.607748184019371,0.3170731707317073
110031198,4616,15.836221837088388,42,727,200,10.4,0.2751031636863824
110041199,9745,19.82555156490508,36,788,300,13.361236316806181,0.38071065989847713
110041200,4369,16.754406042572672,41,739,275,11.468224981738496,0.3721244925575101
110041201,7551,13.680307244073633,47,620,230,10.346358792184725,0.3709677419354839
110041202,21360,19.43820224719101,38,766,300,15.635333018422296,0.391644908616188
110041203,16517,19.99757825270933,38,826,320,18.04615996816554,0.387409200968523
110041204,5998,22.207402467489164,30,660,290,9.253321117727898,0.4393939393939394
110041205,19038,13.10011555835697,45,713,275,12.683379758588671,0.3856942496493689
111011206,17864,16.250559785042544,44,745,360,21.328598287027365,0.48322147651006714
