Year,Year ending,Police Service Area,Local Government Area,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2025,March,Wyndham,Wyndham,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,407,116.5,116.5
2025,March,Wyndham,Wyndham,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,333,95.4,95.4
2025,March,Wyndham,Wyndham,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",79,22.6,22.6
2025,March,Wyndham,Wyndham,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,655,187.6,187.6
2025,March,Wyndham,Wyndham,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,486,139.2,139.2
2025,March,Wyndham,Wyndham,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,594,170.1,170.1
2025,March,Wyndham,Wyndham,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,8,2.3,2.3
2025,March,Wyndham,Wyndham,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,15,4.3,4.3
2025,March,Wyndham,Wyndham,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,182,52.1,52.1
2025,March,Wyndham,Wyndham,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,21,6.0,6.0
2025,March,Wyndham,Wyndham,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,1,0.3,0.3
2025,March,Wyndham,Wyndham,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,10,2.9,2.9
2025,March,Wyndham,Wyndham,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,56,16.0,16.0
2025,March,Wyndham,Wyndham,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,36,10.3,10.3
2025,March,Wyndham,Wyndham,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,107,30.6,30.6
2025,March,Wyndham,Wyndham,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,51,14.6,14.6
2025,March,Wyndham,Wyndham,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,221,63.3,63.3
2025,March,Wyndham,Wyndham,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,106,30.4,30.4
2025,March,Wyndham,Wyndham,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,59,16.9,16.9
2025,March,Wyndham,Wyndham,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,40,11.5,11.5
2025,March,Wyndham,Wyndham,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,146,41.8,41.8
2025,March,Wyndham,Wyndham,B Property and deception offences,B10 Arson,B11 Cause damage by fire,70,20.0,20.0
2025,March,Wyndham,Wyndham,B Property and deception offences,B10 Arson,B12 Cause a bushfire,4,1.1,1.1
2025,March,Wyndham,Wyndham,B Property and deception offences,B10 Arson,B19 Other fire related offences,8,2.3,2.3
2025,March,Wyndham,Wyndham,B Property and deception offences,B20 Property damage,B21 Criminal damage,"1,737",497.4,497.4
2025,March,Wyndham,Wyndham,B Property and deception offences,B20 Property damage,B22 Graffiti,59,16.9,16.9
2025,March,Wyndham,Wyndham,B Property and deception offences,B20 Property damage,B29 Other property damage offences,12,3.4,3.4
2025,March,Wyndham,Wyndham,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,458,131.1,131.1
2025,March,Wyndham,Wyndham,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,35,10.0,10.0
2025,March,Wyndham,Wyndham,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,936,268.0,268.0
2025,March,Wyndham,Wyndham,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,868,248.5,248.5
2025,March,Wyndham,Wyndham,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,6,1.7,1.7
2025,March,Wyndham,Wyndham,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"1,580",452.4,452.4
2025,March,Wyndham,Wyndham,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"3,881","1,111.3","1,111.3"
2025,March,Wyndham,Wyndham,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"1,363",390.3,390.3
2025,March,Wyndham,Wyndham,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,313,89.6,89.6
2025,March,Wyndham,Wyndham,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,806,230.8,230.8
2025,March,Wyndham,Wyndham,B Property and deception offences,B40 Theft,B49 Other theft,"2,897",829.5,829.5
2025,March,Wyndham,Wyndham,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,93,26.6,26.6
2025,March,Wyndham,Wyndham,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,710,203.3,203.3
2025,March,Wyndham,Wyndham,B Property and deception offences,B50 Deception,B54 State false information,26,7.4,7.4
2025,March,Wyndham,Wyndham,B Property and deception offences,B50 Deception,B55 Deceptive business practices,1,0.3,0.3
2025,March,Wyndham,Wyndham,B Property and deception offences,B50 Deception,B59 Other deception offences,3,0.9,0.9
2025,March,Wyndham,Wyndham,B Property and deception offences,B60 Bribery,B61 Bribery of officials,1,0.3,0.3
2025,March,Wyndham,Wyndham,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,106,30.4,30.4
2025,March,Wyndham,Wyndham,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,20,5.7,5.7
2025,March,Wyndham,Wyndham,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,32,9.2,9.2
2025,March,Wyndham,Wyndham,C Drug offences,C30 Drug use and possession,C31 Drug use,5,1.4,1.4
2025,March,Wyndham,Wyndham,C Drug offences,C30 Drug use and possession,C32 Drug possession,683,195.6,195.6
2025,March,Wyndham,Wyndham,C Drug offences,C90 Other drug offences,C99 Other drug offences,1,0.3,0.3
2025,March,Wyndham,Wyndham,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,220,63.0,63.0
2025,March,Wyndham,Wyndham,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,400,114.5,114.5
2025,March,Wyndham,Wyndham,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,8,2.3,2.3
2025,March,Wyndham,Wyndham,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,152,43.5,43.5
2025,March,Wyndham,Wyndham,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,0.3,0.3
2025,March,Wyndham,Wyndham,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,35,10.0,10.0
2025,March,Wyndham,Wyndham,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,0.6,0.6
2025,March,Wyndham,Wyndham,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,71,20.3,20.3
2025,March,Wyndham,Wyndham,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,2,0.6,0.6
2025,March,Wyndham,Wyndham,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,7,2.0,2.0
2025,March,Wyndham,Wyndham,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,7,2.0,2.0
2025,March,Wyndham,Wyndham,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,155,44.4,44.4
2025,March,Wyndham,Wyndham,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,4,1.1,1.1
2025,March,Wyndham,Wyndham,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,203,58.1,58.1
2025,March,Wyndham,Wyndham,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,20,5.7,5.7
2025,March,Wyndham,Wyndham,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,89,25.5,25.5
2025,March,Wyndham,Wyndham,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"2,089",598.2,598.2
2025,March,Wyndham,Wyndham,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,104,29.8,29.8
2025,March,Wyndham,Wyndham,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,242,69.3,69.3
2025,March,Wyndham,Wyndham,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,37,10.6,10.6
2025,March,Wyndham,Wyndham,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,1,0.3,0.3
2025,March,Wyndham,Wyndham,F Other offences,F20 Transport regulation offences,F21 Public transport,9,2.6,2.6
2025,March,Wyndham,Wyndham,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,14,4.0,4.0
2025,March,Wyndham,Wyndham,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences,4,1.1,1.1
2025,March,Wyndham,Wyndham,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,11,3.1,3.1
2025,March,Wyndham,Wyndham,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,3,0.9,0.9
2025,March,Wyndham,Wyndham,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,4,1.1,1.1
2025,March,Wyndham,Wyndham,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,1,0.3,0.3
2025,March,Yarra,Yarra,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,4,3.9,3.9
2025,March,Yarra,Yarra,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,145,142.0,142.0
2025,March,Yarra,Yarra,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,295,288.9,288.9
2025,March,Yarra,Yarra,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",76,74.4,74.4
2025,March,Yarra,Yarra,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,172,168.4,168.4
2025,March,Yarra,Yarra,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,533,521.9,521.9
2025,March,Yarra,Yarra,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,221,216.4,216.4
2025,March,Yarra,Yarra,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,4,3.9,3.9
2025,March,Yarra,Yarra,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,16,15.7,15.7
2025,March,Yarra,Yarra,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,117,114.6,114.6
2025,March,Yarra,Yarra,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,14,13.7,13.7
2025,March,Yarra,Yarra,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,4,3.9,3.9
2025,March,Yarra,Yarra,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,1,1.0,1.0
2025,March,Yarra,Yarra,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,17,16.6,16.6
2025,March,Yarra,Yarra,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,14,13.7,13.7
2025,March,Yarra,Yarra,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,32,31.3,31.3
2025,March,Yarra,Yarra,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,17,16.6,16.6
2025,March,Yarra,Yarra,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,42,41.1,41.1
2025,March,Yarra,Yarra,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,79,77.4,77.4
2025,March,Yarra,Yarra,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,15,14.7,14.7
2025,March,Yarra,Yarra,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,34,33.3,33.3
2025,March,Yarra,Yarra,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,30,29.4,29.4
2025,March,Yarra,Yarra,B Property and deception offences,B10 Arson,B11 Cause damage by fire,40,39.2,39.2
2025,March,Yarra,Yarra,B Property and deception offences,B20 Property damage,B21 Criminal damage,"1,179","1,154.5","1,154.5"
2025,March,Yarra,Yarra,B Property and deception offences,B20 Property damage,B22 Graffiti,234,229.1,229.1
2025,March,Yarra,Yarra,B Property and deception offences,B20 Property damage,B29 Other property damage offences,11,10.8,10.8
2025,March,Yarra,Yarra,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,173,169.4,169.4
2025,March,Yarra,Yarra,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,17,16.6,16.6
2025,March,Yarra,Yarra,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,684,669.8,669.8
2025,March,Yarra,Yarra,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,746,730.5,730.5
2025,March,Yarra,Yarra,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,2,2.0,2.0
2025,March,Yarra,Yarra,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,760,744.2,744.2
2025,March,Yarra,Yarra,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"2,476","2,424.6","2,424.6"
2025,March,Yarra,Yarra,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"1,622","1,588.3","1,588.3"
2025,March,Yarra,Yarra,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,568,556.2,556.2
2025,March,Yarra,Yarra,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,551,539.6,539.6
2025,March,Yarra,Yarra,B Property and deception offences,B40 Theft,B46 Fare evasion,1,1.0,1.0
2025,March,Yarra,Yarra,B Property and deception offences,B40 Theft,B49 Other theft,"1,717","1,681.3","1,681.3"
2025,March,Yarra,Yarra,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,33,32.3,32.3
2025,March,Yarra,Yarra,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,1,1.0,1.0
2025,March,Yarra,Yarra,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,632,618.9,618.9
2025,March,Yarra,Yarra,B Property and deception offences,B50 Deception,B54 State false information,34,33.3,33.3
2025,March,Yarra,Yarra,B Property and deception offences,B50 Deception,B59 Other deception offences,10,9.8,9.8
2025,March,Yarra,Yarra,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,92,90.1,90.1
2025,March,Yarra,Yarra,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,1,1.0,1.0
2025,March,Yarra,Yarra,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,1,1.0,1.0
2025,March,Yarra,Yarra,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,32,31.3,31.3
2025,March,Yarra,Yarra,C Drug offences,C30 Drug use and possession,C31 Drug use,3,2.9,2.9
2025,March,Yarra,Yarra,C Drug offences,C30 Drug use and possession,C32 Drug possession,560,548.4,548.4
2025,March,Yarra,Yarra,C Drug offences,C90 Other drug offences,C99 Other drug offences,1,1.0,1.0
2025,March,Yarra,Yarra,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,46,45.0,45.0
2025,March,Yarra,Yarra,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,264,258.5,258.5
2025,March,Yarra,Yarra,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,1.0,1.0
2025,March,Yarra,Yarra,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,45,44.1,44.1
2025,March,Yarra,Yarra,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,5,4.9,4.9
2025,March,Yarra,Yarra,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,52,50.9,50.9
2025,March,Yarra,Yarra,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,8,7.8,7.8
2025,March,Yarra,Yarra,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,55,53.9,53.9
2025,March,Yarra,Yarra,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,15,14.7,14.7
2025,March,Yarra,Yarra,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,1,1.0,1.0
2025,March,Yarra,Yarra,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,4,3.9,3.9
2025,March,Yarra,Yarra,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,121,118.5,118.5
2025,March,Yarra,Yarra,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,1.0,1.0
2025,March,Yarra,Yarra,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,5,4.9,4.9
2025,March,Yarra,Yarra,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,163,159.6,159.6
2025,March,Yarra,Yarra,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,8,7.8,7.8
2025,March,Yarra,Yarra,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,1,1.0,1.0
2025,March,Yarra,Yarra,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,26,25.5,25.5
2025,March,Yarra,Yarra,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,662,648.3,648.3
2025,March,Yarra,Yarra,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,86,84.2,84.2
2025,March,Yarra,Yarra,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,122,119.5,119.5
2025,March,Yarra,Yarra,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,13,12.7,12.7
2025,March,Yarra,Yarra,F Other offences,F20 Transport regulation offences,F21 Public transport,7,6.9,6.9
2025,March,Yarra,Yarra,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,1,1.0,1.0
2025,March,Yarra,Yarra,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1,1.0,1.0
2025,March,Yarra,Yarra,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,13,12.7,12.7
2025,March,Yarra,Yarra,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,2,2.0,2.0
2025,March,Yarra,Yarra,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,5,4.9,4.9
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,5,3.1,3.1
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,112,69.6,69.6
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,110,68.4,68.4
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",52,32.3,32.3
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,313,194.6,194.6
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,195,121.2,121.2
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,304,189.0,189.0
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,2,1.2,1.2
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,8,5.0,5.0
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,40,24.9,24.9
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,8,5.0,5.0
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,10,6.2,6.2
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,27,16.8,16.8
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,26,16.2,16.2
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,39,24.2,24.2
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,19,11.8,11.8
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,58,36.1,36.1
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,56,34.8,34.8
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,30,18.6,18.6
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,1,0.6,0.6
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,47,29.2,29.2
2025,March,Yarra Ranges,Yarra Ranges,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,47,29.2,29.2
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B10 Arson,B11 Cause damage by fire,49,30.5,30.5
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B10 Arson,B12 Cause a bushfire,1,0.6,0.6
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B10 Arson,B19 Other fire related offences,102,63.4,63.4
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B20 Property damage,B21 Criminal damage,654,406.5,406.5
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B20 Property damage,B22 Graffiti,127,78.9,78.9
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B20 Property damage,B29 Other property damage offences,6,3.7,3.7
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,97,60.3,60.3
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,9,5.6,5.6
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,264,164.1,164.1
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,212,131.8,131.8
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1,0.6,0.6
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,302,187.7,187.7
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,746,463.7,463.7
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B40 Theft,B43 Steal from a retail store,523,325.1,325.1
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,31,19.3,19.3
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,191,118.7,118.7
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B40 Theft,B46 Fare evasion,1,0.6,0.6
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B40 Theft,B49 Other theft,666,414.0,414.0
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,41,25.5,25.5
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,309,192.1,192.1
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B50 Deception,B54 State false information,3,1.9,1.9
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,1,0.6,0.6
2025,March,Yarra Ranges,Yarra Ranges,B Property and deception offences,B50 Deception,B59 Other deception offences,3,1.9,1.9
2025,March,Yarra Ranges,Yarra Ranges,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,1,0.6,0.6
2025,March,Yarra Ranges,Yarra Ranges,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,45,28.0,28.0
2025,March,Yarra Ranges,Yarra Ranges,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,10,6.2,6.2
2025,March,Yarra Ranges,Yarra Ranges,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,20,12.4,12.4
2025,March,Yarra Ranges,Yarra Ranges,C Drug offences,C30 Drug use and possession,C31 Drug use,4,2.5,2.5
2025,March,Yarra Ranges,Yarra Ranges,C Drug offences,C30 Drug use and possession,C32 Drug possession,369,229.4,229.4
2025,March,Yarra Ranges,Yarra Ranges,C Drug offences,C90 Other drug offences,C99 Other drug offences,1,0.6,0.6
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,100,62.2,62.2
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,132,82.1,82.1
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,2,1.2,1.2
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,24,14.9,14.9
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,35,21.8,21.8
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,4,2.5,2.5
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,19,11.8,11.8
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,2,1.2,1.2
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,8,5.0,5.0
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,3,1.9,1.9
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,79,49.1,49.1
2025,March,Yarra Ranges,Yarra Ranges,D Public order and security offences,D40 Public security offences,D43 Hacking,1,0.6,0.6
2025,March,Yarra Ranges,Yarra Ranges,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,123,76.5,76.5
2025,March,Yarra Ranges,Yarra Ranges,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,8,5.0,5.0
2025,March,Yarra Ranges,Yarra Ranges,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,19,11.8,11.8
2025,March,Yarra Ranges,Yarra Ranges,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"1,201",746.5,746.5
